,batsman,overall,run0,run1,run2,run3,run4,run6
436,,0,0,0,0,0,0,0
435,S Anirudha,203,54,44,7,0,9,7
434,TM Dilshan,1357,492,335,54,2,140,24
433,M Muralitharan,53,17,9,2,1,1,0
432,LA Carseldine,136,31,23,4,2,11,0
431,J Botha,466,138,143,37,2,39,5
430,KA Pollard,2636,543,482,94,5,131,125
429,CA Ingram,66,12,11,1,0,2,0
428,DR Smith,2842,771,470,78,3,213,109
427,Jaskaran Singh,51,5,4,2,0,0,0
426,A Flintoff,116,24,23,2,1,5,2
425,M Manhas,553,197,191,44,1,43,10
424,GR Napier,59,7,5,3,0,1,0
423,B Lee,204,46,36,4,0,8,8
422,A Mukund,62,9,11,2,0,1,0
421,D du Preez,53,5,6,2,0,0,0
420,SA Yadav,666,147,149,28,2,46,18
419,BMAJ Mendis,61,8,15,4,0,0,0
418,AR Patel,489,116,149,18,0,23,17
417,NM Coulter-Nile,89,22,12,1,0,3,2
416,Mohammad Hafeez,103,51,24,0,0,7,2
415,LPC Silva,103,10,8,3,0,5,1
414,AL Menaria,479,152,149,24,0,24,18
413,HV Patel,105,15,15,3,0,2,3
412,Joginder Sharma,89,10,14,3,0,1,2
411,KB Arun Karthik,94,24,20,3,1,4,1
410,YK Pathan,3763,715,735,125,4,231,143
409,RS Sodhi,57,1,0,0,0,1,0
408,RG Sharma,4946,1082,1261,163,2,323,164
407,UBT Chand,347,170,88,15,0,32,9
406,RG More,52,0,2,0,0,0,0
405,S Badrinath,1695,493,484,85,1,154,28
404,KC Sangakkara,2031,552,563,81,5,195,27
403,SK Trivedi,69,37,16,4,0,3,1
402,STR Binny,849,200,212,45,6,53,26
401,ND Doshi,37,13,0,0,0,0,0
400,J Arunkumar,77,16,3,0,0,5,0
399,MP Stoinis,220,38,42,14,0,13,4
398,RT Ponting,98,69,47,6,0,5,2
397,CM Gautam,225,84,40,8,3,17,6
396,A Singh,44,8,2,0,0,0,0
395,B Kumar,194,75,50,13,0,15,3
394,C Nanda,49,1,0,0,0,0,0
393,R McLaren,185,76,78,8,1,14,1
392,AB Barath,95,22,14,1,0,5,1
391,CR Brathwaite,186,17,7,2,0,6,8
390,JD Unadkat,48,5,3,0,0,0,0
389,R Ashwin,262,105,103,14,0,22,2
388,AB Agarkar,236,60,67,15,0,13,5
387,MS Gony,178,39,19,4,0,6,8
386,SD Chitnis,158,38,37,5,0,10,2
385,P Parameswaran,49,2,1,0,0,0,0
384,A Chandila,51,3,4,0,0,0,0
383,DJ Thornely,78,31,19,0,0,2,2
382,DJ Muthuswami,49,2,1,0,0,0,0
381,KH Pandya,398,38,39,13,2,22,13
380,S Tyagi,52,1,3,0,0,0,0
379,RJ Peterson,84,15,12,1,0,3,1
378,ER Dwivedi,87,7,4,0,0,2,2
377,BCJ Cutting,158,20,9,3,0,4,7
376,R Tewatia,64,5,4,3,0,0,1
375,N Rana,191,37,24,2,0,7,8
374,MF Maharoof,269,44,43,16,0,12,9
373,SA Asnodkar,576,164,105,17,0,56,10
372,DJ Jacobs,141,62,22,3,0,10,4
371,P Sahu,73,4,5,2,0,1,1
370,S Aravind,90,7,7,0,0,5,0
369,CJ McKay,49,8,6,1,0,0,0
368,Parvez Rasool,63,7,11,1,0,1,0
367,SS Shaikh,56,4,2,0,0,1,0
366,VS Yeligati,50,1,0,1,0,0,0
365,SJ Srivastava,53,1,3,1,0,0,0
364,SP Narine,86,29,23,2,0,2,2
363,MS Bisla,941,375,207,36,3,93,23
362,M Vijay,2919,930,663,155,17,237,89
361,C Munro,76,13,12,3,0,3,0
360,F Behardien,67,5,6,0,0,2,0
359,AD Mascarenhas,117,29,35,9,0,5,1
358,TG Southee,106,10,13,5,0,3,2
357,RR Powar,113,27,23,7,0,6,1
356,AS Raut,256,67,73,9,3,13,7
355,BAW Mendis,50,3,3,0,0,0,0
354,SE Bond,50,1,1,0,0,0,0
353,DJG Sammy,388,108,94,15,1,15,18
352,BB Sran,54,0,4,0,0,0,0
351,HH Pandya,239,62,46,5,0,13,8
350,K Goel,247,130,71,11,1,17,9
349,DPMD Jayawardene,2173,619,565,93,4,200,40
348,AC Blizzard,214,48,17,2,1,21,2
347,TM Head,107,14,16,7,0,3,2
346,Mashrafe Mortaza,50,1,0,1,0,0,0
345,Swapnil Singh,49,1,0,0,0,0,0
344,V Sehwag,3913,737,558,96,2,334,106
343,A Chopra,84,45,21,2,0,7,0
342,DJ Harris,181,52,33,2,0,11,5
341,KV Sharma,322,97,99,21,1,13,12
340,KMDN Kulasekara,58,1,1,0,0,1,0
339,T Taibu,79,9,9,5,0,3,0
338,AB McDonald,184,38,42,9,1,9,4
337,J Theron,58,6,6,0,0,1,0
336,SS Iyer,611,194,129,18,0,43,22
335,S Dhawan,3634,1077,972,147,14,348,62
334,NV Ojha,1765,620,408,55,8,119,76
333,Bipul Sharma,252,24,44,14,0,9,8
332,R Dravid,2519,819,681,118,1,269,28
331,SB Joshi,46,10,6,0,0,0,0
330,SL Malinga,120,58,31,1,0,6,4
329,RN ten Doeschate,475,80,102,15,0,26,15
328,GJ Maxwell,1326,233,179,50,0,76,56
327,CK Langeveldt,58,6,2,0,0,0,1
326,B Laughlin,49,5,4,0,0,0,0
325,LJ Wright,214,22,20,2,0,16,3
324,AUK Pathan,105,14,3,2,0,5,2
323,AB Dinda,45,27,13,1,0,1,0
322,R Dhawan,208,56,48,13,1,13,4
321,KJ Abbott,63,3,2,1,1,0,1
320,D Kalyankrishna,48,5,3,0,0,0,0
319,GJ Bailey,810,207,222,44,1,59,19
318,MA Khote,77,10,8,1,0,2,1
317,M Ntini,53,15,1,1,0,2,0
316,H Das,49,3,2,0,0,0,0
315,R Sathish,322,92,89,24,3,22,6
314,SV Samson,1214,352,353,62,5,80,38
313,RR Sarwan,113,34,31,6,0,6,1
312,DT Patil,60,5,5,2,0,1,0
311,MA Starc,136,41,38,9,0,10,0
310,YV Takawale,247,100,41,12,0,26,3
309,PC Valthaty,669,230,101,20,0,61,20
308,M Vohra,895,262,166,46,7,72,26
307,VVS Laxman,361,123,100,10,0,33,5
306,SB Bangar,92,28,25,1,0,1,3
305,GD McGrath,54,4,0,0,0,1,0
304,JE Taylor,50,2,1,1,0,0,0
303,AG Paunikar,92,41,9,2,0,9,0
302,I Malhotra,61,0,3,0,0,1,0
301,SMSM Senanayake,51,8,8,1,0,0,0
300,GC Smith,858,320,228,39,1,94,9
299,S Sriram,73,18,15,2,0,3,0
298,Karanveer Singh,56,9,6,1,0,1,0
297,AM Rahane,3116,882,895,149,12,285,51
296,OA Shah,648,149,168,29,2,34,23
295,Shakib Al Hasan,643,140,169,32,0,44,15
294,R Bhatia,417,103,111,22,1,24,12
293,A Kumble,72,24,21,1,0,3,0
292,DE Bollinger,69,11,9,1,0,1,1
291,VS Malik,58,3,3,0,0,1,0
290,R Ninan,50,3,3,0,0,0,0
289,JC Buttler,377,72,69,14,0,23,11
288,AB de Villiers,4364,702,918,182,12,275,142
287,RR Raje,74,6,10,0,0,1,1
286,SM Harwood,50,7,5,2,0,0,0
285,Sunny Singh,110,12,11,1,0,6,1
284,UA Birla,50,11,3,0,0,1,0
283,J Suchith,109,12,10,5,0,4,2
282,UT Yadav,143,39,30,2,0,8,3
281,MJ Clarke,143,43,35,5,0,12,0
280,BE Hendricks,49,2,1,0,0,0,0
279,T Henderson,55,11,3,1,0,0,1
278,R Vinay Kumar,340,117,108,31,0,20,9
277,M Morkel,205,35,33,8,1,11,5
276,Ankit Sharma,121,25,16,4,0,5,3
275,JH Kallis,2645,982,888,113,8,255,44
274,LRPL Taylor,1195,334,334,62,3,66,46
273,MA Agarwal,1016,306,219,25,0,79,33
272,BB Samantray,183,48,45,8,0,13,2
271,WA Mota,80,30,40,4,0,2,0
270,Kamran Khan,49,3,1,1,0,0,0
269,AD Russell,887,128,114,23,0,48,37
268,A Mishra,300,142,139,17,0,25,3
267,R Sharma,99,48,14,7,0,5,3
266,NLTC Perera,565,129,121,26,1,23,26
265,JJ Bumrah,54,9,5,0,0,1,0
264,AA Chavan,65,5,4,0,0,2,0
263,YS Chahal,51,1,2,0,0,0,0
262,DJ Bravo,1486,419,365,93,5,102,48
261,B Sumanth,79,15,17,3,0,3,0
260,RR Pant,286,59,57,13,1,19,6
259,SW Billings,146,21,26,11,0,4,4
258,DJ Hussey,1591,425,452,72,2,90,60
257,LR Shukla,511,152,137,20,0,33,16
256,SE Marsh,2878,660,652,90,6,233,73
255,LMP Simmons,1211,345,236,44,2,99,36
254,PD Collingwood,295,60,66,10,1,9,13
253,Shivam Sharma,58,1,1,0,0,1,0
252,SN Khan,302,25,41,12,0,19,6
251,KC Cariappa,66,3,7,0,0,0,1
250,L Ronchi,88,26,4,0,0,6,1
249,NK Patel,161,61,38,9,1,14,1
248,D Wiese,214,29,43,6,0,12,4
247,A Zampa,49,1,0,0,0,0,0
246,AA Noffke,57,6,5,0,0,1,0
245,S Sreesanth,63,43,6,2,0,6,0
244,KP Pietersen,1304,290,284,48,4,91,40
243,X Thalaivan Sargunam,49,9,6,2,0,0,0
242,M de Lange,50,1,1,0,0,0,0
241,CL White,1226,274,335,49,2,76,38
240,S Sohal,480,158,82,17,1,34,18
239,I Sharma,75,23,17,3,0,2,1
238,MC Henriques,854,213,221,47,1,59,23
237,Shoaib Malik,102,16,24,4,0,5,0
236,DAJ Bracewell,64,1,6,1,0,1,0
235,AS Rajpoot,46,5,0,1,0,0,0
234,Sohail Tanvir,91,11,14,2,0,3,1
233,L Balaji,67,29,15,2,1,2,1
232,Harbhajan Singh,1094,251,175,32,0,76,40
231,PA Reddy,200,72,65,12,1,15,2
230,DP Nannes,45,9,4,0,0,0,0
229,CH Gayle,4980,1088,668,67,3,282,252
228,V Pratap Singh,49,1,0,0,0,0,0
227,AD Nath,58,13,10,3,0,1,0
226,MEK Hussey,2370,643,648,96,11,198,52
225,DNT Zoysa,60,3,3,2,0,1,0
224,MDKJ Perera,68,8,2,0,0,3,0
223,NJ Maddinson,69,15,1,0,1,4,0
222,S Chanderpaul,71,20,9,0,0,4,0
221,Y Nagar,334,113,109,18,2,20,9
220,C Madan,62,15,3,0,0,3,0
219,Mohammed Shami,46,13,8,1,0,0,0
218,SN Thakur,59,2,3,0,0,1,0
217,T Kohli,53,14,5,0,0,0,1
216,RE van der Merwe,227,66,53,4,2,11,8
215,SB Jakati,77,12,14,1,0,3,0
214,Anirudh Singh,104,34,23,5,0,6,1
213,DS Lehmann,70,10,6,0,0,3,0
212,FY Fazal,246,74,75,7,0,22,1
211,AP Majumdar,142,28,33,7,0,7,2
210,W Jaffer,182,64,41,6,1,14,3
209,MK Pandey,2106,647,613,96,6,169,53
208,SP Fleming,271,86,42,11,2,27,3
207,Pankaj Singh,50,6,5,1,0,0,0
206,Misbah-ul-Haq,206,31,29,6,0,10,6
205,S Nadeem,31,44,14,3,0,1,0
204,RR Rossouw,105,25,17,3,0,3,3
203,M Kaif,288,120,86,23,1,22,6
202,AM Nayar,774,234,230,47,1,55,20
201,Umar Gul,115,8,5,0,0,1,5
200,TL Suman,798,255,205,43,3,55,26
199,Harmeet Singh,73,5,2,2,0,3,0
198,Azhar Mahmood,529,124,116,19,0,39,13
197,SK Raina,5237,1081,1227,219,10,360,161
196,Gurkeerat Singh,467,107,112,16,0,36,9
195,Y Venugopal Rao,1150,355,341,53,1,77,37
194,MR Marsh,300,84,83,11,0,9,14
193,NS Naik,58,16,13,3,0,1,0
192,GH Vihari,261,142,133,23,1,23,1
191,MK Tiwary,1453,475,503,64,7,121,28
190,Yuvraj Singh,2956,822,626,103,3,175,133
189,WD Parnell,91,39,31,5,0,4,1
188,R Rampaul,93,26,15,6,0,3,2
187,BA Bhatt,56,6,0,0,0,0,1
186,PSP Handscomb,50,6,6,0,0,0,0
185,AP Tare,440,125,68,18,1,37,11
184,VR Aaron,87,22,16,3,0,2,2
183,RS Bopara,617,175,204,27,7,39,16
182,PP Ojha,35,30,14,1,0,0,0
181,DA Miller,1925,346,431,101,1,100,74
180,SB Styris,181,53,63,5,0,10,3
179,AN Ghosh,55,5,1,1,0,1,0
178,IR Jaggi,67,32,20,4,1,3,0
177,SS Tiwary,1390,404,448,82,2,84,45
176,A Uniyal,51,3,4,0,0,0,0
175,K Upadhyay,64,3,4,1,0,0,1
174,BB McCullum,3120,893,610,94,3,248,106
173,RV Uthappa,4119,1090,990,182,11,341,104
172,CRD Fernando,53,0,2,1,0,0,0
171,MM Sharma,116,24,18,3,1,4,3
170,M Ashwin,49,1,0,0,0,0,0
169,SR Watson,3442,786,605,97,8,252,121
168,AD Mathews,829,197,255,46,3,42,28
167,MJ Lumb,437,96,41,9,1,45,6
166,PM Sarvesh Kumar,50,1,1,0,0,0,0
165,IC Pandey,48,2,0,0,0,0,0
164,M Rawat,91,34,29,2,0,4,1
163,RP Singh,71,41,31,2,1,2,1
162,DS Kulkarni,119,47,36,7,1,6,2
161,HH Gibbs,988,410,264,45,3,83,31
160,SP Goswami,266,124,92,15,1,26,2
159,AA Jhunjhunwala,260,98,82,13,1,19,5
158,DR Martyn,63,10,15,0,0,1,0
157,M Kartik,155,32,60,8,1,7,1
156,NJ Rimmington,51,0,1,0,0,0,0
155,Sandeep Sharma (1),49,1,0,0,0,0,0
154,MJ McClenaghan,122,13,9,0,0,2,5
153,RJ Quiney,158,57,30,2,1,12,3
152,RS Gavaskar,46,6,2,0,0,0,0
151,Kamran Akmal,241,33,20,4,0,13,8
150,AS Yadav,111,18,13,2,0,5,2
149,B Akhil,145,26,16,5,0,5,5
148,JD Ryder,808,200,145,30,3,69,19
147,DA Warner,4430,950,830,177,11,338,134
146,AP Dole,91,7,8,4,0,3,1
145,AJ Finch,1627,479,351,62,3,145,40
144,KL Rahul,899,217,246,41,3,61,24
143,S Kaul,51,5,3,3,0,0,0
142,A Nehra,71,37,21,1,0,3,1
141,T Thushara,49,10,6,3,0,0,0
140,SM Pollock,244,47,47,2,0,12,8
139,Iqbal Abdulla,137,33,31,5,0,9,1
138,Harpreet Singh,60,8,16,2,0,0,0
137,RE Levi,156,41,19,0,0,10,4
136,G Gambhir,4259,1167,1151,222,15,422,51
135,IK Pathan,1321,372,405,76,2,88,38
134,KD Karthik,3026,783,839,147,5,256,60
133,LA Pomersbach,401,109,85,18,1,25,13
132,MN Samuels,167,68,52,9,0,8,5
131,P Negi,293,69,62,13,1,16,9
130,S Vidyut,235,55,30,5,1,21,3
129,A Ashish Reddy,401,61,83,20,1,16,15
128,DJ Hooda,397,79,89,25,0,15,16
127,KM Jadhav,804,159,223,37,1,47,23
126,NL McCullum,68,8,9,4,1,0,1
125,Imran Tahir,64,15,4,1,0,3,0
124,BJ Haddin,76,5,2,1,0,2,1
123,ML Hayden,1486,367,257,48,2,121,44
122,D Salunkhe,93,8,9,2,0,5,0
121,BJ Hodge,1652,439,452,89,8,122,43
120,DP Vijaykumar,51,0,1,0,0,0,0
119,N Saini,169,68,43,15,1,16,0
118,KW Richardson,80,17,16,3,0,2,1
117,V Kohli,5069,1192,1303,222,10,361,149
116,SW Tait,72,11,13,0,0,1,1
115,DH Yagnik,251,62,44,11,0,23,2
114,J Syed Mohammad,83,11,11,1,0,4,0
113,Sandeep Sharma,61,12,15,0,0,1,0
112,KK Cooper,213,29,16,8,0,9,8
111,Sachin Baby,195,31,32,12,0,9,5
110,S Randiv,48,3,0,1,0,0,0
109,GB Hogg,69,5,14,2,0,1,0
108,PJ Sangwan,57,16,12,3,0,1,0
107,Shoaib Ahmed,46,5,1,0,0,0,0
106,CJ Ferguson,116,58,42,10,0,9,0
105,RA Jadeja,1783,487,573,110,5,112,53
104,U Kaul,49,1,0,0,0,0,0
103,AA Bilakhia,87,43,31,9,0,5,0
102,AN Ahmed,94,11,8,3,0,4,1
101,JEC Franklin,385,124,129,22,0,25,9
100,Q de Kock,988,244,188,19,3,90,21
99,DB Das,406,124,92,12,0,23,16
98,Yashpal Singh,74,39,20,2,1,5,0
97,JM Kemp,71,11,9,2,1,1,1
96,SPD Smith,1555,291,405,87,4,113,33
95,P Awana,46,9,5,0,0,0,0
94,Anureet Singh,56,18,12,0,0,0,1
93,SA Abbott,67,7,3,1,0,1,1
92,WPUJC Vaas,122,24,33,11,0,2,3
91,L Ablish,48,2,0,0,0,0,0
90,SK Warne,223,105,82,12,0,14,6
89,FH Edwards,49,3,1,0,1,0,0
88,DL Vettori,175,46,54,4,1,11,2
87,EJG Morgan,953,287,226,49,3,66,32
86,TR Birt,140,27,15,6,0,9,2
85,Y Gnaneswara Rao,71,9,5,1,0,3,0
84,MN van Wyk,241,44,58,12,1,19,1
83,S Rana,140,33,29,10,0,9,1
82,JP Faulkner,635,119,137,35,0,32,23
81,Ishan Kishan,92,17,16,3,0,5,0
80,MJ Guptill,105,27,19,1,2,3,3
79,TM Srivastava,51,5,5,0,1,0,0
78,Mandeep Singh,1128,313,257,60,2,113,14
77,KS Williamson,209,56,78,4,1,15,1
76,R Bishnoi,74,11,3,0,0,1,2
75,S Narwal,97,12,9,2,0,6,0
74,Sunny Gupta,49,1,0,0,0,0,0
73,VRV Singh,56,2,0,0,0,1,0
72,UT Khawaja,200,43,38,6,1,14,3
71,A Symonds,1184,308,288,66,4,74,41
70,DB Ravi Teja,471,124,136,18,3,35,9
69,VY Mahesh,48,15,11,2,0,0,0
68,KP Appanna,50,2,2,0,0,0,0
67,S Ladda,40,10,0,0,0,0,0
66,J Yadav,50,6,6,0,0,0,0
65,Younis Khan,49,4,3,0,0,0,0
64,Mohammad Ashraful,42,10,2,0,0,0,0
63,JDP Oram,157,50,46,3,0,6,5
62,MS Wade,53,15,14,4,0,0,0
61,KAJ Roach,60,3,4,1,0,1,0
60,RV Gomez,95,27,16,4,0,5,1
59,AG Murtaza,57,7,6,0,0,1,0
58,F du Plessis,1553,357,449,75,8,109,38
57,Salman Butt,282,86,47,7,0,30,2
56,SB Wagh,49,2,0,1,0,0,0
55,KK Nair,1083,279,243,58,3,96,20
54,DW Steyn,200,71,54,19,0,14,3
53,JA Morkel,1290,252,288,55,1,61,55
52,AC Thomas,71,8,8,1,0,1,1
51,RR Bhatkal,48,2,0,0,0,0,0
50,MS Dhoni,4041,810,991,231,11,236,140
49,B Chipli,359,110,100,7,4,28,7
48,RJ Harris,145,46,40,16,1,6,3
47,BR Dunk,95,20,6,3,0,7,0
46,ST Jayasuriya,1055,292,128,22,7,84,39
45,Mohammad Asif,50,3,3,0,0,0,0
44,DT Christian,413,99,147,21,2,17,13
43,CH Morris,435,53,69,21,0,18,17
42,PP Chawla,613,203,161,33,0,49,15
41,CK Kapugedera,54,10,12,2,0,0,0
40,YA Abdulla,49,1,0,0,0,0,0
39,MD Mishra,315,102,65,14,0,24,8
38,JO Holder,96,18,6,2,0,4,2
37,Abdur Razzak,48,2,0,0,0,0,0
36,A Mithun,93,11,8,2,0,4,1
35,S Kaushik,49,1,0,0,0,0,0
34,CA Pujara,447,200,133,15,1,50,4
33,JDS Neesham,78,25,10,7,0,3,1
32,CA Lynn,141,40,29,6,0,6,4
31,P Kumar,391,157,94,24,0,22,17
30,MM Patel,91,17,17,1,0,5,0
29,JP Duminy,2333,535,769,123,6,123,78
28,AC Voges,243,44,61,18,2,15,3
27,PJ Cummins,48,2,0,0,0,0,0
26,SC Ganguly,1472,662,427,54,3,137,42
25,SR Tendulkar,2737,874,721,117,7,296,29
24,PV Tambe,48,24,14,0,0,1,0
23,JJ van der Wath,69,8,6,1,0,1,1
22,TD Paine,41,19,10,0,0,0,0
21,R Shukla,67,10,11,0,0,2,0
20,CJ Anderson,535,127,84,19,1,32,21
19,VH Zol,82,13,7,2,0,3,1
18,HM Amla,258,49,45,4,0,20,4
17,PA Patel,2212,811,570,87,8,248,27
16,WP Saha,1626,379,388,96,3,110,49
15,MV Boucher,503,116,127,29,1,32,13
14,PR Shah,132,50,28,8,0,9,2
13,M Klinger,119,36,30,2,1,9,0
12,AC Gilchrist,2816,737,417,66,4,239,92
11,Z Khan,147,65,43,7,0,11,2
10,SM Katich,341,85,56,15,1,26,8
9,Shoaib Akhtar,46,6,2,0,0,0,0
8,P Dogra,148,63,58,10,1,4,5
7,BJ Rohrer,284,57,48,14,1,21,5
6,JR Hopes,588,120,114,19,1,49,11
5,AT Rayudu,2830,663,818,128,1,198,76
4,MC Juneja,164,54,61,7,0,11,1
3,S Gopal,52,16,10,0,0,1,0
2,CJ Jordan,50,2,1,1,0,0,0
1,Shahid Afridi,170,20,12,0,0,7,6
0,MG Johnson,163,71,45,11,0,7,6
