,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,AC Gilchrist,100,0,100,100,200,100,140.0,100.0
1,SK Raina,89,16,66,105,155,82,137.46,6.4
2,YK Pathan,86,23,40,109,126,63,156.4,7.39
3,ML Hayden,85,0,35,85,120,35,139.89,100.0
4,V Sehwag,82,0,50,82,132,50,161.07,13.03
5,KD Karthik,56,0,94,56,150,94,130.42,100.0
6,IK Pathan,44,85,40,129,84,125,113.78,7.01
7,RP Singh,20,100,48,120,68,148,83.33,7.57
8,SK Warne,33,84,45,117,78,129,100.0,7.4
9,M Muralitharan,13,69,45,82,58,114,72.73,6.09
10,SL Malinga,0,54,14,54,14,68,0.0,6.16
