,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,21,61,121,161,82,136.45,6.7
1,ML Hayden,94,0,48,94,142,48,130.4,100.0
2,AC Gilchrist,94,0,100,94,194,100,146.0,100.0
3,SR Tendulkar,93,0,39,93,132,39,122.14,9.67
4,V Sehwag,77,10,30,87,107,40,148.53,7.38
5,KD Karthik,63,0,93,63,156,93,121.46,100.0
6,IK Pathan,62,62,30,124,92,92,134.09,8.3
7,A Kumble,17,100,30,117,47,130,68.75,6.23
8,PP Ojha,7,95,30,102,37,125,26.67,6.98
9,M Muralitharan,19,78,37,97,56,115,90.0,6.14
10,SL Malinga,13,82,32,95,45,114,50.0,6.55
