,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,3,35,103,135,38,155.3,7.93
1,SK Raina,88,8,68,96,156,76,133.62,6.99
2,V Sehwag,87,3,54,90,141,57,157.2,8.86
3,SR Tendulkar,79,0,41,79,120,41,115.32,9.67
4,YK Pathan,64,19,50,83,114,69,136.26,6.87
5,AC Gilchrist,74,0,100,74,174,100,134.84,100.0
6,SL Malinga,17,100,41,117,58,141,96.97,6.26
7,A Mishra,26,63,38,89,64,101,101.36,7.09
8,MM Patel,14,58,33,72,47,91,100.0,7.26
9,A Kumble,5,43,12,48,17,55,68.75,6.23
10,R Ashwin,16,55,36,71,52,91,76.32,6.29
