,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,2,35,102,135,37,153.39,8.03
1,SK Raina,85,6,70,91,155,76,136.7,7.08
2,V Sehwag,76,2,50,78,126,52,149.7,8.87
3,RG Sharma,74,7,70,81,144,77,123.91,8.02
4,MS Dhoni,70,0,100,70,170,100,139.3,100.0
5,AC Gilchrist,67,4,96,71,163,100,133.09,0.0
6,SL Malinga,15,100,37,115,52,137,85.88,6.48
7,A Mishra,24,73,35,97,59,108,95.2,6.88
8,DW Steyn,18,63,31,81,49,94,105.22,6.17
9,SP Narine,7,48,3,55,10,51,107.14,5.52
10,R Ashwin,15,58,35,73,50,93,73.81,6.39
