,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,1,36,101,136,37,148.37,8.03
1,SK Raina,95,4,80,99,175,84,137.51,7.14
2,V Sehwag,86,1,53,87,139,54,146.73,8.87
3,RG Sharma,81,5,73,86,154,78,124.39,8.06
4,MS Dhoni,78,0,100,78,178,100,140.04,100.0
5,RV Uthappa,76,0,86,76,162,86,125.24,100.0
6,SL Malinga,15,100,36,115,51,136,84.27,6.47
7,A Mishra,24,63,34,87,58,97,94.16,7.14
8,Harbhajan Singh,43,63,46,106,89,109,141.3,6.65
9,SP Narine,8,59,8,67,16,67,93.02,5.9
10,DW Steyn,20,59,38,79,58,97,101.42,6.47
