,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,3,30,103,130,33,157.39,8.25
1,SK Raina,75,1,67,76,142,68,136.75,7.49
2,V Sehwag,73,3,48,76,121,51,151.69,7.4
3,V Kohli,69,0,58,69,127,58,125.05,9.2
4,MS Dhoni,64,0,100,64,164,100,143.53,100.0
5,RG Sharma,67,0,70,67,137,70,126.69,8.9
6,SL Malinga,16,100,35,116,51,135,86.9,6.55
7,DW Steyn,20,77,30,97,50,107,108.04,6.16
8,A Mishra,20,75,32,95,52,107,92.17,6.88
9,SP Narine,8,59,7,67,15,66,107.14,5.52
10,R Ashwin,14,66,35,80,49,101,76.58,6.44
