,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,5,30,105,130,35,158.78,7.97
1,V Kohli,65,0,61,65,126,61,122.16,9.26
2,V Sehwag,65,0,54,65,119,54,150.25,10.8
3,SK Raina,65,0,59,65,124,59,136.86,7.51
4,AB de Villiers,56,0,71,56,127,71,148.3,100.0
5,MS Dhoni,60,0,100,60,160,100,146.14,100.0
6,SL Malinga,14,100,33,114,47,133,86.75,6.44
7,DW Steyn,20,72,28,92,48,100,113.68,6.03
8,SP Narine,11,70,13,81,24,83,107.14,5.52
9,R Ashwin,13,61,37,74,50,98,77.46,6.49
10,R Sharma,10,37,33,47,43,70,72.55,6.73
