,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,2,30,102,130,32,148.94,7.96
1,SK Raina,78,0,76,78,154,76,134.2,7.45
2,AB de Villiers,77,0,75,77,152,75,154.94,100.0
3,V Kohli,75,0,69,75,144,69,122.86,8.92
4,V Sehwag,71,0,50,71,121,50,143.62,10.8
5,MS Dhoni,71,0,100,71,171,100,140.0,100.0
6,SL Malinga,14,100,33,114,47,133,81.63,6.59
7,SP Narine,11,66,19,77,30,85,90.91,6.14
8,DJ Bravo,46,61,65,107,111,126,130.02,7.81
9,R Ashwin,20,60,38,80,58,98,99.35,6.51
10,DW Steyn,24,52,36,76,60,88,111.94,6.65
