,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,CH Gayle,100,0,34,100,134,34,144.14,11.87
1,SK Raina,88,0,88,88,176,88,140.65,7.72
2,V Sehwag,80,0,53,80,133,53,139.11,10.8
3,RV Uthappa,79,0,71,79,150,71,121.86,100.0
4,AB de Villiers,78,0,71,78,149,71,158.92,100.0
5,MS Dhoni,74,0,100,74,174,100,141.72,100.0
6,SP Narine,20,100,30,120,50,130,93.02,5.9
7,SL Malinga,15,79,30,94,45,109,84.62,6.64
8,DW Steyn,24,62,44,86,68,106,111.9,6.48
9,Harbhajan Singh,36,52,53,88,89,105,132.63,6.66
10,B Kumar,15,49,25,64,40,74,79.49,6.72
