,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,AB de Villiers,100,0,83,100,183,83,163.24,100.0
1,DA Warner,99,0,53,99,152,53,142.53,100.0
2,V Kohli,98,0,69,98,167,69,131.79,11.8
3,CH Gayle,96,0,33,96,129,33,142.42,8.55
4,KA Pollard,70,19,64,89,134,83,141.67,8.79
5,MS Dhoni,73,0,98,73,171,98,134.87,100.0
6,DJ Bravo,50,92,69,142,119,161,127.04,8.06
7,SP Narine,15,100,26,115,41,126,81.03,6.3
8,SL Malinga,11,95,22,106,33,117,80.9,6.79
9,R Ashwin,26,64,38,90,64,102,103.24,6.65
10,DW Steyn,24,53,35,77,59,88,116.16,6.74
