,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,SK Raina,100,0,100,100,200,100,144.73,7.86
1,RV Uthappa,92,0,73,92,165,73,125.32,100.0
2,DA Miller,90,0,88,90,178,88,153.19,100.0
3,CH Gayle,89,0,40,89,129,40,136.31,10.0
4,GJ Maxwell,76,0,55,76,131,55,173.45,11.72
5,MS Dhoni,85,0,100,85,185,100,149.64,100.0
6,SP Narine,20,100,40,120,60,140,88.57,6.06
7,MM Sharma,5,90,40,95,45,130,12.5,7.43
8,MG Johnson,28,82,64,110,92,146,107.95,7.46
9,B Kumar,13,70,31,83,44,101,69.74,6.51
10,Harbhajan Singh,36,81,52,117,88,133,133.33,6.52
