,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,AB de Villiers,100,0,62,100,162,62,163.6,100.0
1,DA Warner,98,0,60,98,158,60,137.99,100.0
2,CH Gayle,96,0,30,96,126,30,136.47,9.19
3,SK Raina,93,0,82,93,175,82,136.45,7.61
4,GJ Maxwell,69,0,41,69,110,41,161.67,10.54
5,MS Dhoni,83,0,87,83,170,87,139.19,100.0
6,DJ Bravo,50,97,64,147,114,161,121.8,7.89
7,SL Malinga,12,100,26,112,38,126,50.0,7.03
8,Harbhajan Singh,41,90,39,131,80,129,138.1,6.89
9,SP Narine,14,84,28,98,42,112,86.11,6.35
10,R Ashwin,28,63,32,91,60,95,100.0,6.61
