,name,batsmanrating,bowlerrating,fielderrating,batsmanbowlerrating,batsmanfielderrating,bowlerfielderrating,strikerate,economyrate
0,DA Warner,100,0,44,100,144,44,148.89,100.0
1,AB de Villiers,97,0,81,97,178,81,167.36,100.0
2,V Kohli,97,0,54,97,151,54,140.76,7.42
3,RG Sharma,73,0,37,73,110,37,136.06,100.0
4,AD Russell,58,59,33,117,91,92,171.33,7.97
5,KD Karthik,42,0,100,42,142,100,121.12,100.0
6,DJ Bravo,34,92,58,126,92,150,123.01,8.4
7,YS Chahal,7,100,37,107,44,137,100.0,8.39
8,B Kumar,30,95,42,125,72,137,157.89,7.53
9,R Ashwin,26,44,31,70,57,75,129.17,6.38
10,MA Starc,6,51,21,57,27,72,78.57,6.77
